     
        Date       Modified Julian Day
     (y mm dd)  (days since 1st Jan 1950)
 ______________________________________________
       50601       16587
       50602       16588
       50603       16589
       50604       16590
       50605       16591
       50606       16592
       50607       16593
       50608       16594
       50609       16595
       50610       16596
       50611       16597
       50612       16598
       50613       16599
       50614       16600
       50615       16601
       50616       16602
       50617       16603
       50618       16604
       50619       16605
       50620       16606
       50621       16607
       50622       16608
       50623       16609
       50624       16610
       50625       16611
       50626       16612
       50627       16613
       50628       16614
       50629       16615
       50630       16616
       50701       16617
       50702       16618
       50703       16619
       50704       16620
       50705       16621
       50706       16622
       50707       16623
       50708       16624
       50709       16625
       50710       16626
       50711       16627
       50712       16628
       50713       16629
       50714       16630
       50715       16631
       50716       16632
       50717       16633
       50718       16634
       50719       16635
       50720       16636
       50721       16637
       50722       16638
       50723       16639
       50724       16640
       50725       16641
       50726       16642
       50727       16643
       50728       16644
       50729       16645
       50730       16646
       50731       16647
       50801       16648
       50802       16649
       50803       16650
       50804       16651
       50805       16652
       50806       16653
       50807       16654
       50808       16655
       50809       16656
       50810       16657
       50811       16658
       50812       16659
       50813       16660
       50814       16661
       50815       16662
       50816       16663
       50817       16664
       50818       16665
       50819       16666
       50820       16667
       50821       16668
       50822       16669
       50823       16670
       50824       16671
       50825       16672
       50826       16673
       50827       16674
       50828       16675
       50829       16676
       50830       16677
       50831       16678
       50901       16679
       50902       16680
       50903       16681
       50904       16682
       50905       16683
       50906       16684
       50907       16685
       50908       16686
       50909       16687
       50910       16688
       50911       16689
       50912       16690
       50913       16691
       50914       16692
       50915       16693
       50916       16694
       50917       16695
       50918       16696
       50919       16697
       50920       16698
       50921       16699
       50922       16700
       50923       16701
       50924       16702
       50925       16703
       50926       16704
       50927       16705
       50928       16706
       50929       16707
       50930       16708
       51001       16709
       51002       16710
       51003       16711
       51004       16712
       51005       16713
       51006       16714
       51007       16715
       51008       16716
       51009       16717
       51010       16718
       51011       16719
       51012       16720
       51013       16721
       51014       16722
       51015       16723
       51016       16724
       51017       16725
       51018       16726
       51019       16727
       51020       16728
       51021       16729
       51022       16730
       51023       16731
       51024       16732
       51025       16733
       51026       16734
       51027       16735
       51028       16736
       51029       16737
       51030       16738
       51031       16739
       51101       16740
       51102       16741
       51103       16742
       51104       16743
       51105       16744
       51106       16745
       51107       16746
       51108       16747
       51109       16748
       51110       16749
       51111       16750
       51112       16751
       51113       16752
       51114       16753
       51115       16754
       51116       16755
       51117       16756
       51118       16757
       51119       16758
       51120       16759
       51121       16760
       51122       16761
       51123       16762
       51124       16763
       51125       16764
       51126       16765
       51127       16766
       51128       16767
       51129       16768
       51130       16769
       51201       16770
       51202       16771
       51203       16772
       51204       16773
       51205       16774
       51206       16775
       51207       16776
       51208       16777
       51209       16778
       51210       16779
       51211       16780
       51212       16781
       51213       16782
       51214       16783
       51215       16784
       51216       16785
       51217       16786
       51218       16787
       51219       16788
       51220       16789
       51221       16790
       51222       16791
       51223       16792
       51224       16793
       51225       16794
       51226       16795
       51227       16796
       51228       16797
       51229       16798
       51230       16799
       51231       16800
